,Street,Suburb,City,Country,Address,long,lat
0,16 OFFICE ROAD,,CHRISTCHURCH,NEW ZEALAND,,-95.7162018,37.2256055
1,NEW BRIGHTON,NEW BRIGHTON,CHRISTCHURCH,NEW ZEALAND,"NEW BRIGHTON,NEW BRIGHTON,CHRISTCHURCH,NEW ZEALAND",172.7293255,-43.507332
2,CANTERBURY 8081,MOUNT PLEASANT,CHRISTCHURCH,NEW ZEALAND,"CANTERBURY 8081,MOUNT PLEASANT,CHRISTCHURCH,NEW ZEALAND",172.7161307,-43.5629504
3,HORNBY 8042,,CHRISTCHURCH,NEW ZEALAND,,-95.7162018,37.2256055
4,,HORNBY,CHRISTCHURCH,NEW ZEALAND,,-95.7162018,37.2256055
5,22 WEBB STREET,,CHRISTCHURCH,NEW ZEALAND,,-95.7162018,37.2256055
6,"255 MARINE PARADE ROAD , NEW B",NEW BRIGHTON,CHRISTCHURCH,NEW ZEALAND,"255 MARINE PARADE ROAD , NEW B,NEW BRIGHTON,CHRISTCHURCH,NEW ZEALAND",172.7319266,-43.5111688
7,26 WALTON STREET,WALTHAM,CHRISTCHURCH,NEW ZEALAND,"26 WALTON STREET,WALTHAM,CHRISTCHURCH,NEW ZEALAND",172.63913,-43.5499101
8,7 CECIL PLACE,WALTHAM,CHRISTCHURCH,NEW ZEALAND,"7 CECIL PLACE,WALTHAM,CHRISTCHURCH,NEW ZEALAND",172.6473834,-43.547876
9,13 CLYDE ROAD,RICCARTON,CHRISTCHURCH,NEW ZEALAND,"13 CLYDE ROAD,RICCARTON,CHRISTCHURCH,NEW ZEALAND",172.5866324,-43.5295274
10,7 BOLTON AVENUE,SYDENHAM,CHRISTCHURCH,NEW ZEALAND,"7 BOLTON AVENUE,SYDENHAM,CHRISTCHURCH,NEW ZEALAND",172.622618,-43.549314
11,27 PACKE STREET,BEALEY,CHRISTCHURCH,NEW ZEALAND,"27 PACKE STREET,BEALEY,CHRISTCHURCH,NEW ZEALAND",172.6443871,-43.5194318
12,49 BRODIE STREET,UPPER RICCARTON,CHRISTCHURCH,NEW ZEALAND,"49 BRODIE STREET,UPPER RICCARTON,CHRISTCHURCH,NEW ZEALAND",172.5677181,-43.5262727
13,2 HOMESTEAD LANE,UPPER RICCARTON,CHRISTCHURCH,NEW ZEALAND,"2 HOMESTEAD LANE,UPPER RICCARTON,CHRISTCHURCH,NEW ZEALAND",172.5768752,-43.5251111
