,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,5210,3914,7563,9010,3999,6349,14067,1532,9201,3000,5275,7221,9460,5602,3937,11662,4237,9631,6701,6249,8801,9388,9540,9355,3056,6820,5757,9424,4350,11572,1421,9063,5426,3533,811,11237,3502,8772,11077,4192,11467,1688,8198,8256,7469,17415,3685,3562,5073,8536,4043,13004,5582,9394,7400,3203,7901,3288,1981,8165,4738,11004,14025,2682,3430,4095,9203,4475,11117,9582,1624,4276,8792,4190,4157,6853,9649,635,7974,4143,3711,7090,4547,8974,15224,6555,4492,4965,5646,5024,4875,10515,1676,12865,1893,8698,4531,5959,8457
1,4994,0,7810,11913,4493,7895,12543,16927,6469,12572,6896,10146,10823,5426,5168,4803,17425,9108,5597,2185,10885,14564,15152,15304,14530,7637,11691,8634,15187,6338,17335,4802,14851,7291,8404,4438,17001,8458,10763,16227,8757,17544,4518,10188,13709,3223,20275,7581,8648,9532,11526,7939,17547,9048,11385,3365,2331,10890,2633,6918,10155,8634,16768,16885,7114,7326,6108,11933,9345,16881,11573,3626,4579,4758,4453,9027,2819,15413,4924,4198,8936,8581,9080,9751,14737,18084,2702,10510,859,7659,9894,6740,16278,6405,15725,6622,10689,8426,7824,4423
2,4555,8705,0,4203,12608,1307,2542,10261,3108,8150,1635,2511,7895,13288,9396,7444,8854,1662,13460,10590,3175,5993,8336,8489,5548,4216,4140,3318,6353,6863,9736,4087,5249,7236,2366,4836,10186,3734,5356,6626,1785,7943,4679,6287,4442,11298,13608,1338,1820,1822,4915,2256,8565,3190,5978,11228,6698,4280,6550,2653,6254,1071,8806,10218,4012,1569,6317,5581,3415,8918,6166,5085,7782,15418,7697,3159,10682,8598,4597,12119,2920,2769,5406,2000,7922,11417,10714,1944,8460,6709,3972,6900,9463,2934,9058,2889,4814,717,7769,15372
3,7564,12227,4634,0,18418,4828,2832,10506,5847,6605,5447,3098,8642,19099,13261,11494,6232,3327,21104,16400,2375,2762,5194,5347,4823,6168,2225,6689,3122,10564,6506,7609,4298,9394,4031,8256,6475,7194,6254,3926,3619,5203,8200,8996,3491,17108,13854,4859,4573,2666,5690,5828,6698,6563,6898,16459,10219,5053,10072,5522,8963,4593,5574,10464,6692,5091,9823,6331,4063,5687,7665,8607,11833,19119,11747,4414,16492,5456,8018,15820,6491,4361,8070,5499,3868,11662,17650,5443,11982,8866,4047,9639,6321,6455,9303,6411,5823,3925,9927,19073
4,8351,4886,11774,17751,0,11858,15206,19591,10541,17334,10859,14184,15645,2735,8109,8311,22261,12934,2870,2517,14848,19400,19663,20140,17194,13173,18237,11297,20023,9002,22171,8791,17514,11144,11761,7795,21837,11121,13426,18891,12720,22066,8086,12852,16372,1736,22938,11544,12364,13495,14189,12412,20210,11711,14048,4297,6041,13554,6145,11062,12819,13789,21604,19548,11927,11289,10894,14596,12702,21716,14236,6983,7973,3353,8280,12384,4035,19924,9036,5886,11599,11938,11744,12414,19573,20747,2899,13173,4893,11985,17340,10597,21114,10285,18388,10502,13352,12390,11051,3600
5,4124,8274,682,4784,12177,0,2442,10161,3026,8681,1714,3093,7986,12858,8974,7022,9092,2090,13029,10159,3757,6575,8868,9020,5449,4096,4721,3078,6934,5586,10318,3656,5487,7327,2457,4405,10717,2460,5116,6864,1876,8181,4248,6046,4627,10867,13508,678,1912,2404,4674,1020,8465,1876,5738,10797,6267,4039,6120,2570,6014,831,8798,10118,3930,1138,6235,5341,3955,8910,5926,4654,7360,14142,7275,3657,10251,9129,4166,10842,1683,3192,5166,694,8453,11317,10283,639,8030,6800,4553,6818,9995,2512,8958,2467,4574,1298,7860,14095
6,6327,12565,3031,2827,15361,2349,0,8312,5173,8130,3828,3774,10166,16042,11167,9216,6650,3905,18047,13344,3358,4688,7121,7273,3281,6398,4151,3914,5048,7508,7528,5859,3045,10689,4608,6608,8084,4395,4060,4422,4028,5739,6450,6802,2238,14052,11660,2895,4064,2454,3497,2995,6297,3835,4704,13403,8470,2860,8322,4873,6769,2174,6356,8270,6232,3440,8537,4137,4853,6468,5472,6857,9554,16063,9469,5062,13436,7382,6369,12764,3659,5009,5876,2663,5794,9469,12486,2608,10232,10161,4838,9120,8420,4706,7110,4661,3630,2624,11222,16017
7,14068,17094,10772,10524,19891,10091,8335,0,12914,18349,11570,11515,20386,20572,18909,16958,11891,11647,22577,17873,11100,12808,15572,14504,9789,14140,11847,8786,12311,12037,13733,13600,10635,18431,12350,14349,14324,10262,6742,11608,11770,11133,12502,10265,8802,18581,3584,10636,11806,10196,6823,10737,10781,8936,6364,17932,16668,6445,13906,12614,10436,9915,12560,2396,13973,11182,16278,5809,12595,12673,5388,14048,17296,20592,17210,12804,17965,15833,14111,17293,10516,12751,9543,9802,14246,1392,19541,9746,17288,17903,12580,16862,14660,12447,3028,12402,6703,10366,18964,20546
8,1532,6509,2698,5861,10309,2788,5138,12856,0,8373,1784,3564,7024,10758,6156,4204,10833,2536,10930,8000,4548,7972,8559,8712,8144,2334,5512,5774,8595,5700,10743,2518,7846,5608,2301,2224,10409,3550,7811,8529,2490,10639,3039,8058,7039,8768,16204,2468,2030,3541,7370,2832,12175,5169,8433,8698,4502,6735,4586,447,8024,3527,10176,12814,2168,2213,4362,8037,3646,10288,8621,2975,4543,10091,4457,3328,8152,8821,1986,9105,2932,2882,6950,3336,8145,14013,7854,3280,6264,5497,4195,5056,9686,964,11654,919,7269,3314,6141,9756
9,8422,16868,7673,6604,16767,7901,8237,18351,7593,0,7723,5166,3217,17941,11744,9346,8561,6149,18136,17158,5189,5700,2978,4536,9158,7026,4556,9944,6323,12590,6902,9661,8581,6642,5445,9114,6356,10974,11251,7976,6103,8366,9929,12912,9338,16377,21698,7684,6365,5756,10921,8636,9903,9865,12148,18938,11253,10285,11338,7356,12879,7735,6548,18308,6846,7880,7010,11587,3947,6624,12337,9865,9811,17994,9945,4923,18676,3240,8876,15857,9300,4947,12032,8694,4265,19507,14175,8638,12180,4959,3932,7147,5113,8502,17148,8458,10820,6881,6905,18241
