,Street,Suburb,City,Country,Address,latitude,longitude
0,1 Radcliffe Road,Belfast,CHRISTCHURCH,NEW ZEALAND,"1 Radcliffe Road,Belfast,CHRISTCHURCH,NEW ZEALAND",-43.46031,172.62372
1,40 Ivory Street,Rangiora,CHRISTCHURCH,NEW ZEALAND,"40 Ivory Street,Rangiora,CHRISTCHURCH,NEW ZEALAND",-43.3078924,172.5980646
2,87 Hilton Street,Kaiapoi,CHRISTCHURCH,NEW ZEALAND,"87 Hilton Street,Kaiapoi,CHRISTCHURCH,NEW ZEALAND",-43.38570319999999,172.6576805
3,Cnr Main North Road and Sawyers Arms Road,Papanui,CHRISTCHURCH,NEW ZEALAND,"Cnr Main North Road and Sawyers Arms Road,Papanui,CHRISTCHURCH,NEW ZEALAND",-43.4912018,172.6128727
4,530/546A Memorial Avenue,Harewood,CHRISTCHURCH,NEW ZEALAND,"530/546A Memorial Avenue,Harewood,CHRISTCHURCH,NEW ZEALAND",-43.4904338,172.5466684
5,The Palms Plaza Marshland Road,Shirley,CHRISTCHURCH,NEW ZEALAND,"The Palms Plaza Marshland Road,Shirley,CHRISTCHURCH,NEW ZEALAND",-43.5052942,172.6649538
6,12 Hawke Street,New Brighton,CHRISTCHURCH,NEW ZEALAND,"12 Hawke Street,New Brighton,CHRISTCHURCH,NEW ZEALAND",-43.50629379999999,172.7286865
7,Cnr Withells Road and Merrin St,Avonhead,CHRISTCHURCH,NEW ZEALAND,"Cnr Withells Road and Merrin St,Avonhead,CHRISTCHURCH,NEW ZEALAND",-43.5112185,172.5569844
8,Cnr Riccarton Road and Hansons Lane,Riccarton,CHRISTCHURCH,NEW ZEALAND,"Cnr Riccarton Road and Hansons Lane,Riccarton,CHRISTCHURCH,NEW ZEALAND",-43.5318103,172.5737027
9,17 Chappie Place,Hornby,CHRISTCHURCH,NEW ZEALAND,"17 Chappie Place,Hornby,CHRISTCHURCH,NEW ZEALAND",-43.54276340000001,172.5269558
10,219 Colombo Street,Sydenham,CHRISTCHURCH,NEW ZEALAND,"219 Colombo Street,Sydenham,CHRISTCHURCH,NEW ZEALAND",-43.5531573,172.6360599
11,6 Buckleys Road,Linwood,CHRISTCHURCH,NEW ZEALAND,"6 Buckleys Road,Linwood,CHRISTCHURCH,NEW ZEALAND",-43.5331997,172.6740007
12,Cnr Moorhouse Avenue and Madras Street,CHRISTCHURCH CENTRAL,CHRISTCHURCH,NEW ZEALAND,"Cnr Moorhouse Avenue and Madras Street,CHRISTCHURCH CENTRAL,CHRISTCHURCH,NEW ZEALAND",-43.5398504,172.6427217
13,999 Ferry Road,Ferrymead,CHRISTCHURCH,NEW ZEALAND,"999 Ferry Road,Ferrymead,CHRISTCHURCH,NEW ZEALAND",-43.5568711,172.7013435
14,2 Mounter Avenue,Northwood,CHRISTCHURCH,NEW ZEALAND,"2 Mounter Avenue,Northwood,CHRISTCHURCH,NEW ZEALAND",-43.4599195,172.6223891
15,420 Marshland Road,Marshland,CHRISTCHURCH,NEW ZEALAND,"420 Marshland Road,Marshland,CHRISTCHURCH,NEW ZEALAND",-43.47512,172.65988
16,Cnr Farrington Avenue and Harewood Road,Bishopdale,CHRISTCHURCH,NEW ZEALAND,"Cnr Farrington Avenue and Harewood Road,Bishopdale,CHRISTCHURCH,NEW ZEALAND",-43.4884911,172.587223
17,19-23 Memorial Avenue, Fendalton,CHRISTCHURCH,NEW ZEALAND,"19-23 Memorial Avenue, Fendalton,CHRISTCHURCH,NEW ZEALAND",-43.5177983,172.5883081
18,288 Stanmore Road,Richmond,Christchurch,NEW ZEALAND,"288 Stanmore Road,Richmond,Christchurch,NEW ZEALAND",-43.5206429,172.6566054
19,47C/57C Peer Street,Upper Riccarton,Christchurch,NEW ZEALAND,"47C/57C Peer Street,Upper Riccarton,Christchurch,NEW ZEALAND",-43.5262993,172.5707267
20,175 Durham Street South,Christchurch Central,Christchurch,NEW ZEALAND,"175 Durham Street South,Christchurch Central,Christchurch,NEW ZEALAND",-43.5387356,172.6331705
