,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,506,393,759,823,388,617,1274,160,776,294,544,681,873,543,374,1002,410,885,632,618,727,844,830,902,305,662,598,816,424,1034,156,898,521,340,92,998,382,825,971,411,978,166,801,811,717,1604,372,390,529,811,405,1121,534,844,719,320,756,330,200,800,467,929,1333,260,335,396,872,422,938,842,171,404,808,394,413,666,841,68,734,457,365,690,496,744,1387,645,479,484,540,492,463,920,167,1168,200,806,440,576,794
1,481,0,779,1182,398,775,987,1342,629,1142,680,1005,1010,481,530,468,1463,872,493,207,1070,1189,1306,1291,1100,750,1123,624,1278,444,1496,484,1166,710,801,426,1459,647,830,1274,869,1410,433,806,1030,306,1673,758,858,933,855,791,1396,678,849,327,220,801,247,669,806,853,1390,1401,702,721,587,887,884,1400,847,340,447,416,434,874,274,1302,481,404,705,827,696,826,1205,1456,230,838,88,732,954,651,1381,614,1237,647,811,826,764,402
2,465,863,0,437,1172,152,262,919,349,687,210,283,757,1208,938,728,877,181,1220,981,326,578,756,741,548,443,421,365,638,659,921,437,539,704,249,489,909,495,574,647,204,783,485,643,452,1052,1250,169,228,189,510,246,844,350,592,1054,677,455,668,305,643,128,816,978,437,180,662,570,372,826,590,518,758,1081,748,360,1001,752,472,1056,375,326,552,260,655,1033,1012,244,841,659,398,702,831,314,814,314,534,81,759,1091
3,763,1217,500,0,1526,506,306,960,617,617,572,353,803,1543,1202,993,604,352,1541,1335,268,292,551,536,502,630,256,690,353,968,636,790,468,875,420,837,624,837,666,426,392,526,839,905,381,1406,1291,523,497,294,580,602,622,683,689,1407,1030,518,1022,585,905,489,531,1019,677,533,903,628,434,540,722,872,1023,1390,1013,484,1355,547,811,1410,731,478,806,600,399,1074,1357,584,1195,831,441,896,626,668,855,667,620,434,930,1400
4,802,417,1069,1468,0,1065,1216,1571,950,1208,970,1318,1108,254,671,650,1726,1169,266,244,1360,1510,1460,1584,1328,1040,1444,852,1599,672,1814,785,1395,793,1122,747,1766,875,1059,1503,1159,1639,704,1035,1258,175,1902,1048,1148,1223,1084,1064,1624,906,1078,431,541,1029,551,982,1034,1101,1695,1630,1001,1011,829,1115,1205,1704,1076,661,619,329,649,1195,390,1456,793,559,934,1148,924,1055,1526,1684,253,1066,418,878,1275,801,1642,906,1466,939,1040,1116,786,358
5,408,806,82,485,1115,0,241,898,304,735,186,331,751,1151,877,668,892,209,1163,925,374,625,803,788,526,404,469,327,686,598,969,380,554,698,242,432,956,384,536,662,198,798,428,605,456,995,1228,76,229,236,471,110,822,266,554,997,620,417,611,260,605,90,853,956,392,123,618,532,381,863,552,462,698,1020,687,371,944,800,415,999,238,320,513,119,702,1011,956,103,785,653,446,658,878,254,792,253,496,129,752,1030
6,616,1014,307,294,1275,225,0,727,516,728,405,384,915,1274,1084,874,651,387,1271,1085,337,446,705,690,318,624,410,406,507,699,732,588,313,903,448,640,732,541,432,421,404,557,636,672,226,1155,1058,287,427,237,347,296,614,390,456,1157,828,284,819,480,671,210,612,786,612,342,837,395,468,622,489,669,904,1120,894,521,1104,701,623,1159,425,515,573,307,553,841,1164,291,992,859,475,877,758,460,622,460,386,260,958,1130
7,1284,1489,975,955,1727,893,729,0,1184,1373,1073,1051,1560,1630,1751,1542,967,1055,1628,1537,1005,986,1255,1118,782,1291,1070,809,960,1055,1115,1256,867,1571,1116,1308,1113,997,659,887,1071,899,1186,992,751,1607,356,954,1095,905,633,964,866,842,606,1549,1310,604,1282,1147,994,878,995,287,1280,1010,1505,546,1135,1005,503,1303,1572,1477,1562,1188,1557,1252,1290,1571,1016,1183,896,903,1104,139,1670,887,1499,1526,1143,1545,1139,1128,311,1127,641,928,1626,1487
8,160,622,281,612,939,278,507,1164,0,701,182,395,666,989,605,395,927,264,1001,748,472,652,770,755,792,228,567,593,741,563,959,268,786,540,240,234,923,389,802,858,264,903,306,827,699,833,1494,260,230,370,738,295,1046,543,820,835,435,683,445,47,826,356,854,1222,216,223,418,798,347,863,818,310,426,923,415,338,782,766,208,865,347,290,716,385,669,1277,761,369,600,542,418,481,845,96,1058,101,762,328,595,910
9,724,1153,673,614,1165,687,716,1362,648,0,668,473,285,1283,853,758,702,515,1290,1204,435,428,287,410,761,592,409,898,517,1128,654,860,727,503,444,798,592,1016,1050,672,515,678,871,1176,781,1135,1692,677,574,482,979,765,822,882,1078,1384,993,924,1003,628,1176,674,600,1421,613,678,631,1040,302,605,1076,875,759,1281,777,404,1340,283,772,1422,887,407,1084,799,374,1476,946,783,1118,446,319,553,469,734,1256,740,1004,602,536,1310
