,0,1,2,3,4,5,6,7,8,9
0,0.000,0.344,0.160,0.094,0.188,0.163,0.222,0.371,0.035,0.169
1,0.344,0.000,0.388,0.333,0.231,0.426,0.257,0.152,0.328,0.192
2,0.157,0.391,0.000,0.156,0.287,0.054,0.334,0.279,0.185,0.276
3,0.095,0.331,0.154,0.000,0.141,0.182,0.214,0.265,0.093,0.153
4,0.192,0.230,0.278,0.128,0.000,0.301,0.182,0.247,0.167,0.074
5,0.160,0.427,0.058,0.186,0.305,0.000,0.353,0.315,0.189,0.294
6,0.227,0.240,0.334,0.217,0.154,0.356,0.000,0.326,0.211,0.115
7,0.365,0.151,0.273,0.268,0.267,0.311,0.332,0.000,0.343,0.276
8,0.035,0.326,0.190,0.095,0.162,0.194,0.205,0.343,0.000,0.152
9,0.162,0.188,0.268,0.146,0.039,0.289,0.116,0.283,0.146,0.000
